Sub_District_PK,SubDistrict,District,State
Chandurbazar|Amravati|Maharashtra,Chandurbazar,Amravati,Maharashtra
Chikhaldara|Amravati|Maharashtra,Chikhaldara,Amravati,Maharashtra
Daryapur|Amravati|Maharashtra,Daryapur,Amravati,Maharashtra
Dhamangaon Railway|Amravati|Maharashtra,Dhamangaon Railway,Amravati,Maharashtra
Dharni|Amravati|Maharashtra,Dharni,Amravati,Maharashtra
Morshi|Amravati|Maharashtra,Morshi,Amravati,Maharashtra
Nandgaon Khandeshwar|Amravati|Maharashtra,Nandgaon Khandeshwar,Amravati,Maharashtra
Teosa|Amravati|Maharashtra,Teosa,Amravati,Maharashtra
Warud|Amravati|Maharashtra,Warud,Amravati,Maharashtra
Aurangabad|Aurangabad|Maharashtra,Aurangabad,Aurangabad,Maharashtra
Gangapur|Aurangabad|Maharashtra,Gangapur,Aurangabad,Maharashtra
Kannad|Aurangabad|Maharashtra,Kannad,Aurangabad,Maharashtra
Khuldabad|Aurangabad|Maharashtra,Khuldabad,Aurangabad,Maharashtra
Paithan|Aurangabad|Maharashtra,Paithan,Aurangabad,Maharashtra
Phulambri|Aurangabad|Maharashtra,Phulambri,Aurangabad,Maharashtra
Sillod|Aurangabad|Maharashtra,Sillod,Aurangabad,Maharashtra
Soegaon|Aurangabad|Maharashtra,Soegaon,Aurangabad,Maharashtra
Vaijapur|Aurangabad|Maharashtra,Vaijapur,Aurangabad,Maharashtra
Ambejogai|Beed|Maharashtra,Ambejogai,Beed,Maharashtra
Ashti|Beed|Maharashtra,Ashti,Beed,Maharashtra
Beed|Beed|Maharashtra,Beed,Beed,Maharashtra
Dharur|Beed|Maharashtra,Dharur,Beed,Maharashtra
Georai|Beed|Maharashtra,Georai,Beed,Maharashtra
Kaij|Beed|Maharashtra,Kaij,Beed,Maharashtra
Manjlegaon|Beed|Maharashtra,Manjlegaon,Beed,Maharashtra
Parli|Beed|Maharashtra,Parli,Beed,Maharashtra
Patoda|Beed|Maharashtra,Patoda,Beed,Maharashtra
Shirur Kasar|Beed|Maharashtra,Shirur Kasar,Beed,Maharashtra
Wadwani|Beed|Maharashtra,Wadwani,Beed,Maharashtra
Bhandara|Bhandara|Maharashtra,Bhandara,Bhandara,Maharashtra
Lakhandur|Bhandara|Maharashtra,Lakhandur,Bhandara,Maharashtra
Lakhani|Bhandara|Maharashtra,Lakhani,Bhandara,Maharashtra
Mohadi|Bhandara|Maharashtra,Mohadi,Bhandara,Maharashtra
Pauni|Bhandara|Maharashtra,Pauni,Bhandara,Maharashtra
Sakoli|Bhandara|Maharashtra,Sakoli,Bhandara,Maharashtra
Tumsar|Bhandara|Maharashtra,Tumsar,Bhandara,Maharashtra
Buldana|Buldhana|Maharashtra,Buldana,Buldhana,Maharashtra
Chikhli|Buldhana|Maharashtra,Chikhli,Buldhana,Maharashtra
Deolgaon Raja|Buldhana|Maharashtra,Deolgaon Raja,Buldhana,Maharashtra
Jalgaon Jamod|Buldhana|Maharashtra,Jalgaon Jamod,Buldhana,Maharashtra
Khamgaon|Buldhana|Maharashtra,Khamgaon,Buldhana,Maharashtra
Lonar|Buldhana|Maharashtra,Lonar,Buldhana,Maharashtra
Malkapur|Buldhana|Maharashtra,Malkapur,Buldhana,Maharashtra
Mehkar|Buldhana|Maharashtra,Mehkar,Buldhana,Maharashtra
Motala|Buldhana|Maharashtra,Motala,Buldhana,Maharashtra
Nandura|Buldhana|Maharashtra,Nandura,Buldhana,Maharashtra
Sangrampur|Buldhana|Maharashtra,Sangrampur,Buldhana,Maharashtra
Shegaon|Buldhana|Maharashtra,Shegaon,Buldhana,Maharashtra
Sindkhed Raja|Buldhana|Maharashtra,Sindkhed Raja,Buldhana,Maharashtra
Ballarpur|Chandrapur|Maharashtra,Ballarpur,Chandrapur,Maharashtra
Bhadravati|Chandrapur|Maharashtra,Bhadravati,Chandrapur,Maharashtra
Brahmapuri|Chandrapur|Maharashtra,Brahmapuri,Chandrapur,Maharashtra
Chandrapur|Chandrapur|Maharashtra,Chandrapur,Chandrapur,Maharashtra
Chimur|Chandrapur|Maharashtra,Chimur,Chandrapur,Maharashtra
Gondpipri|Chandrapur|Maharashtra,Gondpipri,Chandrapur,Maharashtra
Jiwati|Chandrapur|Maharashtra,Jiwati,Chandrapur,Maharashtra
Korpana|Chandrapur|Maharashtra,Korpana,Chandrapur,Maharashtra
Mul|Chandrapur|Maharashtra,Mul,Chandrapur,Maharashtra
Nagbhir|Chandrapur|Maharashtra,Nagbhir,Chandrapur,Maharashtra
Pombhurna|Chandrapur|Maharashtra,Pombhurna,Chandrapur,Maharashtra
Rajura|Chandrapur|Maharashtra,Rajura,Chandrapur,Maharashtra
Sawali|Chandrapur|Maharashtra,Sawali,Chandrapur,Maharashtra
Sindewahi|Chandrapur|Maharashtra,Sindewahi,Chandrapur,Maharashtra
Warora|Chandrapur|Maharashtra,Warora,Chandrapur,Maharashtra
Dhule|Dhule|Maharashtra,Dhule,Dhule,Maharashtra
Sakri|Dhule|Maharashtra,Sakri,Dhule,Maharashtra
Shirpur|Dhule|Maharashtra,Shirpur,Dhule,Maharashtra
Sindkhede|Dhule|Maharashtra,Sindkhede,Dhule,Maharashtra
Aheri|Gadchiroli|Maharashtra,Aheri,Gadchiroli,Maharashtra
Armori|Gadchiroli|Maharashtra,Armori,Gadchiroli,Maharashtra
Bhamragad|Gadchiroli|Maharashtra,Bhamragad,Gadchiroli,Maharashtra
Chamorshi|Gadchiroli|Maharashtra,Chamorshi,Gadchiroli,Maharashtra
Desaiganj Vadasa|Gadchiroli|Maharashtra,Desaiganj Vadasa,Gadchiroli,Maharashtra
Dhanora|Gadchiroli|Maharashtra,Dhanora,Gadchiroli,Maharashtra
Etapalli|Gadchiroli|Maharashtra,Etapalli,Gadchiroli,Maharashtra
Gadchiroli|Gadchiroli|Maharashtra,Gadchiroli,Gadchiroli,Maharashtra
Korchi|Gadchiroli|Maharashtra,Korchi,Gadchiroli,Maharashtra
Kurkheda|Gadchiroli|Maharashtra,Kurkheda,Gadchiroli,Maharashtra
Mulchera|Gadchiroli|Maharashtra,Mulchera,Gadchiroli,Maharashtra
Sironcha|Gadchiroli|Maharashtra,Sironcha,Gadchiroli,Maharashtra
Amgaon|Gondia|Maharashtra,Amgaon,Gondia,Maharashtra
Arjuni Morgaon|Gondia|Maharashtra,Arjuni Morgaon,Gondia,Maharashtra
Deori|Gondia|Maharashtra,Deori,Gondia,Maharashtra
Gondiya|Gondia|Maharashtra,Gondiya,Gondia,Maharashtra
Goregaon|Gondia|Maharashtra,Goregaon,Gondia,Maharashtra
Sadak Arjuni|Gondia|Maharashtra,Sadak Arjuni,Gondia,Maharashtra
Salekasa|Gondia|Maharashtra,Salekasa,Gondia,Maharashtra
Tirora|Gondia|Maharashtra,Tirora,Gondia,Maharashtra
Aundha Nagnath|Hingoli|Maharashtra,Aundha Nagnath,Hingoli,Maharashtra
Basmath|Hingoli|Maharashtra,Basmath,Hingoli,Maharashtra
Hingoli|Hingoli|Maharashtra,Hingoli,Hingoli,Maharashtra
Kalamnuri|Hingoli|Maharashtra,Kalamnuri,Hingoli,Maharashtra
Sengaon|Hingoli|Maharashtra,Sengaon,Hingoli,Maharashtra
Amalner|Jalgaon|Maharashtra,Amalner,Jalgaon,Maharashtra
Bhadgaon|Jalgaon|Maharashtra,Bhadgaon,Jalgaon,Maharashtra
Bhusawal|Jalgaon|Maharashtra,Bhusawal,Jalgaon,Maharashtra
Bodvad|Jalgaon|Maharashtra,Bodvad,Jalgaon,Maharashtra
Chalisgaon|Jalgaon|Maharashtra,Chalisgaon,Jalgaon,Maharashtra
Chopda|Jalgaon|Maharashtra,Chopda,Jalgaon,Maharashtra
Dharangaon|Jalgaon|Maharashtra,Dharangaon,Jalgaon,Maharashtra
Erandol|Jalgaon|Maharashtra,Erandol,Jalgaon,Maharashtra
Jalgaon|Jalgaon|Maharashtra,Jalgaon,Jalgaon,Maharashtra
Jamner|Jalgaon|Maharashtra,Jamner,Jalgaon,Maharashtra
Muktainagar|Jalgaon|Maharashtra,Muktainagar,Jalgaon,Maharashtra
Pachora|Jalgaon|Maharashtra,Pachora,Jalgaon,Maharashtra
Parola|Jalgaon|Maharashtra,Parola,Jalgaon,Maharashtra
Raver|Jalgaon|Maharashtra,Raver,Jalgaon,Maharashtra
Yawal|Jalgaon|Maharashtra,Yawal,Jalgaon,Maharashtra
Ambad|Jalna|Maharashtra,Ambad,Jalna,Maharashtra
Badnapur|Jalna|Maharashtra,Badnapur,Jalna,Maharashtra
Bhokardan|Jalna|Maharashtra,Bhokardan,Jalna,Maharashtra
Ghansawangi|Jalna|Maharashtra,Ghansawangi,Jalna,Maharashtra
Jafferabad|Jalna|Maharashtra,Jafferabad,Jalna,Maharashtra
Jalna|Jalna|Maharashtra,Jalna,Jalna,Maharashtra
Mantha|Jalna|Maharashtra,Mantha,Jalna,Maharashtra
Partur|Jalna|Maharashtra,Partur,Jalna,Maharashtra
Ajra|Kolhapur|Maharashtra,Ajra,Kolhapur,Maharashtra
Bavda|Kolhapur|Maharashtra,Bavda,Kolhapur,Maharashtra
Bhudargad|Kolhapur|Maharashtra,Bhudargad,Kolhapur,Maharashtra
Chandgad|Kolhapur|Maharashtra,Chandgad,Kolhapur,Maharashtra
Gadhinglaj|Kolhapur|Maharashtra,Gadhinglaj,Kolhapur,Maharashtra
Hatkanangle|Kolhapur|Maharashtra,Hatkanangle,Kolhapur,Maharashtra
Kagal|Kolhapur|Maharashtra,Kagal,Kolhapur,Maharashtra
Karvir|Kolhapur|Maharashtra,Karvir,Kolhapur,Maharashtra
Panhala|Kolhapur|Maharashtra,Panhala,Kolhapur,Maharashtra
Radhanagari|Kolhapur|Maharashtra,Radhanagari,Kolhapur,Maharashtra
Shahuwadi|Kolhapur|Maharashtra,Shahuwadi,Kolhapur,Maharashtra
Shirol|Kolhapur|Maharashtra,Shirol,Kolhapur,Maharashtra
Ahmadpur|Latur|Maharashtra,Ahmadpur,Latur,Maharashtra
Ausa|Latur|Maharashtra,Ausa,Latur,Maharashtra
Chakur|Latur|Maharashtra,Chakur,Latur,Maharashtra
Deoni|Latur|Maharashtra,Deoni,Latur,Maharashtra
Jalkot|Latur|Maharashtra,Jalkot,Latur,Maharashtra
Latur|Latur|Maharashtra,Latur,Latur,Maharashtra
Nilanga|Latur|Maharashtra,Nilanga,Latur,Maharashtra
Renapur|Latur|Maharashtra,Renapur,Latur,Maharashtra
Shirur Anantpal|Latur|Maharashtra,Shirur Anantpal,Latur,Maharashtra
Udgir|Latur|Maharashtra,Udgir,Latur,Maharashtra
Mumbai|Mumbai|Maharashtra,Mumbai,Mumbai,Maharashtra
Andheri|Mumbai Suburban|Maharashtra,Andheri,Mumbai Suburban,Maharashtra
Borivali|Mumbai Suburban|Maharashtra,Borivali,Mumbai Suburban,Maharashtra
Kurla|Mumbai Suburban|Maharashtra,Kurla,Mumbai Suburban,Maharashtra
Bhiwapur|Nagpur|Maharashtra,Bhiwapur,Nagpur,Maharashtra
Hingna|Nagpur|Maharashtra,Hingna,Nagpur,Maharashtra
Kalameshwar|Nagpur|Maharashtra,Kalameshwar,Nagpur,Maharashtra
Kamptee|Nagpur|Maharashtra,Kamptee,Nagpur,Maharashtra
Katol|Nagpur|Maharashtra,Katol,Nagpur,Maharashtra
Kuhi|Nagpur|Maharashtra,Kuhi,Nagpur,Maharashtra
Mauda|Nagpur|Maharashtra,Mauda,Nagpur,Maharashtra
Nagpur Rural|Nagpur|Maharashtra,Nagpur Rural,Nagpur,Maharashtra
Nagpur Urban|Nagpur|Maharashtra,Nagpur Urban,Nagpur,Maharashtra
Narkhed|Nagpur|Maharashtra,Narkhed,Nagpur,Maharashtra
Parseoni|Nagpur|Maharashtra,Parseoni,Nagpur,Maharashtra
Ramtek|Nagpur|Maharashtra,Ramtek,Nagpur,Maharashtra
Savner|Nagpur|Maharashtra,Savner,Nagpur,Maharashtra
Umred|Nagpur|Maharashtra,Umred,Nagpur,Maharashtra
Ardhapur|Nanded|Maharashtra,Ardhapur,Nanded,Maharashtra
Bhokar|Nanded|Maharashtra,Bhokar,Nanded,Maharashtra
Biloli|Nanded|Maharashtra,Biloli,Nanded,Maharashtra
Deglur|Nanded|Maharashtra,Deglur,Nanded,Maharashtra
Dharmabad|Nanded|Maharashtra,Dharmabad,Nanded,Maharashtra
Hadgaon|Nanded|Maharashtra,Hadgaon,Nanded,Maharashtra
Himayatnagar|Nanded|Maharashtra,Himayatnagar,Nanded,Maharashtra
Kandhar|Nanded|Maharashtra,Kandhar,Nanded,Maharashtra
Kinwat|Nanded|Maharashtra,Kinwat,Nanded,Maharashtra
Loha|Nanded|Maharashtra,Loha,Nanded,Maharashtra
Mahoor|Nanded|Maharashtra,Mahoor,Nanded,Maharashtra
Mudkhed|Nanded|Maharashtra,Mudkhed,Nanded,Maharashtra
Mukhed|Nanded|Maharashtra,Mukhed,Nanded,Maharashtra
Naigaon Khairgaon|Nanded|Maharashtra,Naigaon Khairgaon,Nanded,Maharashtra
Nanded|Nanded|Maharashtra,Nanded,Nanded,Maharashtra
Umri|Nanded|Maharashtra,Umri,Nanded,Maharashtra
Akkalkuwa|Nandurbar|Maharashtra,Akkalkuwa,Nandurbar,Maharashtra
Akrani|Nandurbar|Maharashtra,Akrani,Nandurbar,Maharashtra
Nandurbar|Nandurbar|Maharashtra,Nandurbar,Nandurbar,Maharashtra
Nawapur|Nandurbar|Maharashtra,Nawapur,Nandurbar,Maharashtra
Shahade|Nandurbar|Maharashtra,Shahade,Nandurbar,Maharashtra
Talode|Nandurbar|Maharashtra,Talode,Nandurbar,Maharashtra
Baglan|Nashik|Maharashtra,Baglan,Nashik,Maharashtra
Chandvad|Nashik|Maharashtra,Chandvad,Nashik,Maharashtra
Deola|Nashik|Maharashtra,Deola,Nashik,Maharashtra
Dindori|Nashik|Maharashtra,Dindori,Nashik,Maharashtra
Igatpuri|Nashik|Maharashtra,Igatpuri,Nashik,Maharashtra
Kalwan|Nashik|Maharashtra,Kalwan,Nashik,Maharashtra
Malegaon|Nashik|Maharashtra,Malegaon,Nashik,Maharashtra
Nandgaon|Nashik|Maharashtra,Nandgaon,Nashik,Maharashtra
Nashik|Nashik|Maharashtra,Nashik,Nashik,Maharashtra
Niphad|Nashik|Maharashtra,Niphad,Nashik,Maharashtra
Peint|Nashik|Maharashtra,Peint,Nashik,Maharashtra
Sinnar|Nashik|Maharashtra,Sinnar,Nashik,Maharashtra
Surgana|Nashik|Maharashtra,Surgana,Nashik,Maharashtra
Trimbakeshwar|Nashik|Maharashtra,Trimbakeshwar,Nashik,Maharashtra
Yevla|Nashik|Maharashtra,Yevla,Nashik,Maharashtra
Bhum|Osmanabad|Maharashtra,Bhum,Osmanabad,Maharashtra
Kalamb|Osmanabad|Maharashtra,Kalamb,Osmanabad,Maharashtra
Lohara|Osmanabad|Maharashtra,Lohara,Osmanabad,Maharashtra
Osmanabad|Osmanabad|Maharashtra,Osmanabad,Osmanabad,Maharashtra
Paranda|Osmanabad|Maharashtra,Paranda,Osmanabad,Maharashtra
Tuljapur|Osmanabad|Maharashtra,Tuljapur,Osmanabad,Maharashtra
Umarga|Osmanabad|Maharashtra,Umarga,Osmanabad,Maharashtra
Washi|Osmanabad|Maharashtra,Washi,Osmanabad,Maharashtra
Dahanu|Palghar|Maharashtra,Dahanu,Palghar,Maharashtra
Jawhar|Palghar|Maharashtra,Jawhar,Palghar,Maharashtra
Mokhada|Palghar|Maharashtra,Mokhada,Palghar,Maharashtra
Palghar|Palghar|Maharashtra,Palghar,Palghar,Maharashtra
Talasari|Palghar|Maharashtra,Talasari,Palghar,Maharashtra
Vada|Palghar|Maharashtra,Vada,Palghar,Maharashtra
Vasai|Palghar|Maharashtra,Vasai,Palghar,Maharashtra
Vikramgad|Palghar|Maharashtra,Vikramgad,Palghar,Maharashtra
Gangakhed|Parbhani|Maharashtra,Gangakhed,Parbhani,Maharashtra
Jintur|Parbhani|Maharashtra,Jintur,Parbhani,Maharashtra
Manwath|Parbhani|Maharashtra,Manwath,Parbhani,Maharashtra
Palam|Parbhani|Maharashtra,Palam,Parbhani,Maharashtra
Parbhani|Parbhani|Maharashtra,Parbhani,Parbhani,Maharashtra
Pathri|Parbhani|Maharashtra,Pathri,Parbhani,Maharashtra
Purna|Parbhani|Maharashtra,Purna,Parbhani,Maharashtra
Sailu|Parbhani|Maharashtra,Sailu,Parbhani,Maharashtra
Sonpeth|Parbhani|Maharashtra,Sonpeth,Parbhani,Maharashtra
Ambegaon|Pune|Maharashtra,Ambegaon,Pune,Maharashtra
Baramati|Pune|Maharashtra,Baramati,Pune,Maharashtra
Bhor|Pune|Maharashtra,Bhor,Pune,Maharashtra
Daund|Pune|Maharashtra,Daund,Pune,Maharashtra
Haveli|Pune|Maharashtra,Haveli,Pune,Maharashtra
Indapur|Pune|Maharashtra,Indapur,Pune,Maharashtra
Junnar|Pune|Maharashtra,Junnar,Pune,Maharashtra
Khed|Pune|Maharashtra,Khed,Pune,Maharashtra
Mawal|Pune|Maharashtra,Mawal,Pune,Maharashtra
Mulshi|Pune|Maharashtra,Mulshi,Pune,Maharashtra
Pune City|Pune|Maharashtra,Pune City,Pune,Maharashtra
Purandhar|Pune|Maharashtra,Purandhar,Pune,Maharashtra
Shirur|Pune|Maharashtra,Shirur,Pune,Maharashtra
Velhe|Pune|Maharashtra,Velhe,Pune,Maharashtra
Alibag|Raigad|Maharashtra,Alibag,Raigad,Maharashtra
Karjat|Raigad|Maharashtra,Karjat,Raigad,Maharashtra
Khalapur|Raigad|Maharashtra,Khalapur,Raigad,Maharashtra
Mahad|Raigad|Maharashtra,Mahad,Raigad,Maharashtra
Mangaon|Raigad|Maharashtra,Mangaon,Raigad,Maharashtra
Mhasla|Raigad|Maharashtra,Mhasla,Raigad,Maharashtra
Murud|Raigad|Maharashtra,Murud,Raigad,Maharashtra
Panvel|Raigad|Maharashtra,Panvel,Raigad,Maharashtra
Pen|Raigad|Maharashtra,Pen,Raigad,Maharashtra
Poladpur|Raigad|Maharashtra,Poladpur,Raigad,Maharashtra
Roha|Raigad|Maharashtra,Roha,Raigad,Maharashtra
Shrivardhan|Raigad|Maharashtra,Shrivardhan,Raigad,Maharashtra
Sudhagad|Raigad|Maharashtra,Sudhagad,Raigad,Maharashtra
Tala|Raigad|Maharashtra,Tala,Raigad,Maharashtra
Uran|Raigad|Maharashtra,Uran,Raigad,Maharashtra
Chiplun|Ratnagiri|Maharashtra,Chiplun,Ratnagiri,Maharashtra
Dapoli|Ratnagiri|Maharashtra,Dapoli,Ratnagiri,Maharashtra
Guhagar|Ratnagiri|Maharashtra,Guhagar,Ratnagiri,Maharashtra
Khed|Ratnagiri|Maharashtra,Khed,Ratnagiri,Maharashtra
Lanja|Ratnagiri|Maharashtra,Lanja,Ratnagiri,Maharashtra
Mandangad|Ratnagiri|Maharashtra,Mandangad,Ratnagiri,Maharashtra
Rajapur|Ratnagiri|Maharashtra,Rajapur,Ratnagiri,Maharashtra
Ratnagiri|Ratnagiri|Maharashtra,Ratnagiri,Ratnagiri,Maharashtra
Sangameshwar|Ratnagiri|Maharashtra,Sangameshwar,Ratnagiri,Maharashtra
Atpadi|Sangli|Maharashtra,Atpadi,Sangli,Maharashtra
Jat|Sangli|Maharashtra,Jat,Sangli,Maharashtra
Kadegaon|Sangli|Maharashtra,Kadegaon,Sangli,Maharashtra
Kavathemahankal|Sangli|Maharashtra,Kavathemahankal,Sangli,Maharashtra
Khanapur Vita|Sangli|Maharashtra,Khanapur Vita,Sangli,Maharashtra
Miraj|Sangli|Maharashtra,Miraj,Sangli,Maharashtra
Palus|Sangli|Maharashtra,Palus,Sangli,Maharashtra
Shirala|Sangli|Maharashtra,Shirala,Sangli,Maharashtra
Tasgaon|Sangli|Maharashtra,Tasgaon,Sangli,Maharashtra
Walwa|Sangli|Maharashtra,Walwa,Sangli,Maharashtra
Jaoli|Satara|Maharashtra,Jaoli,Satara,Maharashtra
Karad|Satara|Maharashtra,Karad,Satara,Maharashtra
Khandala|Satara|Maharashtra,Khandala,Satara,Maharashtra
Khatav|Satara|Maharashtra,Khatav,Satara,Maharashtra
Koregaon|Satara|Maharashtra,Koregaon,Satara,Maharashtra
Mahabaleshwar|Satara|Maharashtra,Mahabaleshwar,Satara,Maharashtra
Man|Satara|Maharashtra,Man,Satara,Maharashtra
Patan|Satara|Maharashtra,Patan,Satara,Maharashtra
Phaltan|Satara|Maharashtra,Phaltan,Satara,Maharashtra
Satara|Satara|Maharashtra,Satara,Satara,Maharashtra
Wai|Satara|Maharashtra,Wai,Satara,Maharashtra
Devgad|Sindhudurg|Maharashtra,Devgad,Sindhudurg,Maharashtra
Dodamarg|Sindhudurg|Maharashtra,Dodamarg,Sindhudurg,Maharashtra
Kankavli|Sindhudurg|Maharashtra,Kankavli,Sindhudurg,Maharashtra
Kudal|Sindhudurg|Maharashtra,Kudal,Sindhudurg,Maharashtra
Malwan|Sindhudurg|Maharashtra,Malwan,Sindhudurg,Maharashtra
Sawantwadi|Sindhudurg|Maharashtra,Sawantwadi,Sindhudurg,Maharashtra
Vaibhavvadi|Sindhudurg|Maharashtra,Vaibhavvadi,Sindhudurg,Maharashtra
Vengurla|Sindhudurg|Maharashtra,Vengurla,Sindhudurg,Maharashtra
Akkalkot|Solapur|Maharashtra,Akkalkot,Solapur,Maharashtra
Barshi|Solapur|Maharashtra,Barshi,Solapur,Maharashtra
Karmala|Solapur|Maharashtra,Karmala,Solapur,Maharashtra
Madha|Solapur|Maharashtra,Madha,Solapur,Maharashtra
Malshiras|Solapur|Maharashtra,Malshiras,Solapur,Maharashtra
Mangalvedhe|Solapur|Maharashtra,Mangalvedhe,Solapur,Maharashtra
Mohol|Solapur|Maharashtra,Mohol,Solapur,Maharashtra
Pandharpur|Solapur|Maharashtra,Pandharpur,Solapur,Maharashtra
Sangole|Solapur|Maharashtra,Sangole,Solapur,Maharashtra
Solapur North|Solapur|Maharashtra,Solapur North,Solapur,Maharashtra
Solapur South|Solapur|Maharashtra,Solapur South,Solapur,Maharashtra
Ambarnath|Thane|Maharashtra,Ambarnath,Thane,Maharashtra
Bhiwandi|Thane|Maharashtra,Bhiwandi,Thane,Maharashtra
Kalyan|Thane|Maharashtra,Kalyan,Thane,Maharashtra
Murbad|Thane|Maharashtra,Murbad,Thane,Maharashtra
Shahapur|Thane|Maharashtra,Shahapur,Thane,Maharashtra
Thane|Thane|Maharashtra,Thane,Thane,Maharashtra
Ulhasnagar|Thane|Maharashtra,Ulhasnagar,Thane,Maharashtra
Arvi|Wardha|Maharashtra,Arvi,Wardha,Maharashtra
Ashti|Wardha|Maharashtra,Ashti,Wardha,Maharashtra
Deoli|Wardha|Maharashtra,Deoli,Wardha,Maharashtra
Hinganghat|Wardha|Maharashtra,Hinganghat,Wardha,Maharashtra
Karanja|Wardha|Maharashtra,Karanja,Wardha,Maharashtra
Samudrapur|Wardha|Maharashtra,Samudrapur,Wardha,Maharashtra
Seloo|Wardha|Maharashtra,Seloo,Wardha,Maharashtra
Wardha|Wardha|Maharashtra,Wardha,Wardha,Maharashtra
Karanja|Washim|Maharashtra,Karanja,Washim,Maharashtra
Malegaon|Washim|Maharashtra,Malegaon,Washim,Maharashtra
Mangrulpir|Washim|Maharashtra,Mangrulpir,Washim,Maharashtra
Manora|Washim|Maharashtra,Manora,Washim,Maharashtra
Risod|Washim|Maharashtra,Risod,Washim,Maharashtra
Washim|Washim|Maharashtra,Washim,Washim,Maharashtra
Arni|Yavatmal|Maharashtra,Arni,Yavatmal,Maharashtra
Babulgaon|Yavatmal|Maharashtra,Babulgaon,Yavatmal,Maharashtra
Darwha|Yavatmal|Maharashtra,Darwha,Yavatmal,Maharashtra
Digras|Yavatmal|Maharashtra,Digras,Yavatmal,Maharashtra
Ghatanji|Yavatmal|Maharashtra,Ghatanji,Yavatmal,Maharashtra
Kalamb|Yavatmal|Maharashtra,Kalamb,Yavatmal,Maharashtra
Kelapur|Yavatmal|Maharashtra,Kelapur,Yavatmal,Maharashtra
Mahagaon|Yavatmal|Maharashtra,Mahagaon,Yavatmal,Maharashtra
Maregaon|Yavatmal|Maharashtra,Maregaon,Yavatmal,Maharashtra
Ner|Yavatmal|Maharashtra,Ner,Yavatmal,Maharashtra
Pusad|Yavatmal|Maharashtra,Pusad,Yavatmal,Maharashtra
Ralegaon|Yavatmal|Maharashtra,Ralegaon,Yavatmal,Maharashtra
Umarkhed|Yavatmal|Maharashtra,Umarkhed,Yavatmal,Maharashtra
Wani|Yavatmal|Maharashtra,Wani,Yavatmal,Maharashtra
Yavatmal|Yavatmal|Maharashtra,Yavatmal,Yavatmal,Maharashtra
Zari Jamani|Yavatmal|Maharashtra,Zari Jamani,Yavatmal,Maharashtra
Bishnupur|Bishnupur|Manipur,Bishnupur,Bishnupur,Manipur
Moirang|Bishnupur|Manipur,Moirang,Bishnupur,Manipur
Nambol|Bishnupur|Manipur,Nambol,Bishnupur,Manipur
Chakpikarong|Chandel|Manipur,Chakpikarong,Chandel,Manipur
Chandel|Chandel|Manipur,Chandel,Chandel,Manipur
Khengjoy|Chandel|Manipur,Khengjoy,Chandel,Manipur
Churachandpur|Churachandpur|Manipur,Churachandpur,Churachandpur,Manipur
Henglep|Churachandpur|Manipur,Henglep,Churachandpur,Manipur
Kangvai|Churachandpur|Manipur,Kangvai,Churachandpur,Manipur
Mualnuam|Churachandpur|Manipur,Mualnuam,Churachandpur,Manipur
Saikot|Churachandpur|Manipur,Saikot,Churachandpur,Manipur
Samulamlan|Churachandpur|Manipur,Samulamlan,Churachandpur,Manipur
Sangaikot|Churachandpur|Manipur,Sangaikot,Churachandpur,Manipur
Singngat|Churachandpur|Manipur,Singngat,Churachandpur,Manipur
Suangdoh|Churachandpur|Manipur,Suangdoh,Churachandpur,Manipur
Tuibong|Churachandpur|Manipur,Tuibong,Churachandpur,Manipur
Keirao Bitra|Imphal East|Manipur,Keirao Bitra,Imphal East,Manipur
Porompat|Imphal East|Manipur,Porompat,Imphal East,Manipur
Sawombung|Imphal East|Manipur,Sawombung,Imphal East,Manipur
Lamphelpat|Imphal West|Manipur,Lamphelpat,Imphal West,Manipur
Lamshang|Imphal West|Manipur,Lamshang,Imphal West,Manipur
Patsoi|Imphal West|Manipur,Patsoi,Imphal West,Manipur
Wangoi|Imphal West|Manipur,Wangoi,Imphal West,Manipur
Borobekra|Jiribam|Manipur,Borobekra,Jiribam,Manipur
Jiribam|Jiribam|Manipur,Jiribam,Jiribam,Manipur
Kakching|Kakching|Manipur,Kakching,Kakching,Manipur
Waikhong|Kakching|Manipur,Waikhong,Kakching,Manipur
Kamjong Chassad|Kamjong|Manipur,Kamjong Chassad,Kamjong,Manipur
Kasom Khullen|Kamjong|Manipur,Kasom Khullen,Kamjong,Manipur
Phungyar Phaisat|Kamjong|Manipur,Phungyar Phaisat,Kamjong,Manipur
Sahamphung|Kamjong|Manipur,Sahamphung,Kamjong,Manipur
Bungte Chiru|Kangpokpi|Manipur,Bungte Chiru,Kangpokpi,Manipur
Champhai|Kangpokpi|Manipur,Champhai,Kangpokpi,Manipur
Island|Kangpokpi|Manipur,Island,Kangpokpi,Manipur
Kangchup Geljang|Kangpokpi|Manipur,Kangchup Geljang,Kangpokpi,Manipur
Lhungtin|Kangpokpi|Manipur,Lhungtin,Kangpokpi,Manipur
Sadar Hills West|Kangpokpi|Manipur,Sadar Hills West,Kangpokpi,Manipur
Saikul|Kangpokpi|Manipur,Saikul,Kangpokpi,Manipur
Saitu Gamphazol|Kangpokpi|Manipur,Saitu Gamphazol,Kangpokpi,Manipur
T Vaichong|Kangpokpi|Manipur,T Vaichong,Kangpokpi,Manipur
Haochong|Noney|Manipur,Haochong,Noney,Manipur
